Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
016,005,031,055,Idaho,Bannock County,Nebraska,Douglas County,0,28,22,21,-22,21,22,21,,,,,,,,,,,,,,,,,,,,,,,,
016,005,032,003,Idaho,Bannock County,Nevada,Clark County,20,24,95,80,-75,82,115,84,,,,,,,,,,,,,,,,,,,,,,,,
016,005,032,007,Idaho,Bannock County,Nevada,Elko County,0,28,6,12,-6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
016,005,032,031,Idaho,Bannock County,Nevada,Washoe County,0,28,46,70,-46,70,46,70,,,,,,,,,,,,,,,,,,,,,,,,
016,005,032,510,Idaho,Bannock County,Nevada,Carson City,7,11,0,29,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
016,005,035,015,Idaho,Bannock County,New Mexico,Eddy County,0,28,85,131,-85,131,85,131,,,,,,,,,,,,,,,,,,,,,,,,
016,005,035,027,Idaho,Bannock County,New Mexico,Lincoln County,7,12,0,19,7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
016,005,035,028,Idaho,Bannock County,New Mexico,Los Alamos County,0,28,40,63,-40,63,40,63,,,,,,,,,,,,,,,,,,,,,,,,
016,005,035,049,Idaho,Bannock County,New Mexico,Santa Fe County,0,28,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
016,005,036,113,Idaho,Bannock County,New York,Warren County,0,28,22,32,-22,32,22,32,,,,,,,,,,,,,,,,,,,,,,,,
016,005,037,093,Idaho,Bannock County,North Carolina,Hoke County,38,56,0,28,38,56,38,56,,,,,,,,,,,,,,,,,,,,,,,,
016,005,037,183,Idaho,Bannock County,North Carolina,Wake County,12,19,0,28,12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
016,005,038,015,Idaho,Bannock County,North Dakota,Burleigh County,8,12,0,22,8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
016,005,039,017,Idaho,Bannock County,Ohio,Butler County,9,15,0,27,9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
016,005,039,035,Idaho,Bannock County,Ohio,Cuyahoga County,7,13,0,27,7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
016,005,039,049,Idaho,Bannock County,Ohio,Franklin County,0,28,44,73,-44,73,44,73,,,,,,,,,,,,,,,,,,,,,,,,
016,005,039,051,Idaho,Bannock County,Ohio,Fulton County,59,87,0,24,59,87,59,87,,,,,,,,,,,,,,,,,,,,,,,,
016,005,039,089,Idaho,Bannock County,Ohio,Licking County,4,8,0,27,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
016,005,039,099,Idaho,Bannock County,Ohio,Mahoning County,35,53,0,27,35,53,35,53,,,,,,,,,,,,,,,,,,,,,,,,
016,005,039,103,Idaho,Bannock County,Ohio,Medina County,0,28,31,49,-31,49,31,49,,,,,,,,,,,,,,,,,,,,,,,,
016,005,039,169,Idaho,Bannock County,Ohio,Wayne County,7,16,0,27,7,16,7,16,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,003,Idaho,Bannock County,Oregon,Benton County,47,73,7,13,40,74,54,73,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,005,Idaho,Bannock County,Oregon,Clackamas County,9,11,0,28,9,11,9,11,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,011,Idaho,Bannock County,Oregon,Coos County,2,4,0,28,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,029,Idaho,Bannock County,Oregon,Jackson County,54,79,0,28,54,79,54,79,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,039,Idaho,Bannock County,Oregon,Lane County,1,3,0,28,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,041,Idaho,Bannock County,Oregon,Lincoln County,0,28,6,12,-6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,047,Idaho,Bannock County,Oregon,Marion County,6,12,0,28,6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,051,Idaho,Bannock County,Oregon,Multnomah County,32,51,21,34,11,61,53,61,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,065,Idaho,Bannock County,Oregon,Wasco County,0,28,16,37,-16,37,16,37,,,,,,,,,,,,,,,,,,,,,,,,
016,005,041,067,Idaho,Bannock County,Oregon,Washington County,29,48,61,74,-32,106,90,67,,,,,,,,,,,,,,,,,,,,,,,,
016,005,042,061,Idaho,Bannock County,Pennsylvania,Huntingdon County,26,42,0,22,26,42,26,42,,,,,,,,,,,,,,,,,,,,,,,,
016,005,042,101,Idaho,Bannock County,Pennsylvania,Philadelphia County,21,33,0,24,21,33,21,33,,,,,,,,,,,,,,,,,,,,,,,,
016,005,045,073,Idaho,Bannock County,South Carolina,Oconee County,17,27,0,29,17,27,17,27,,,,,,,,,,,,,,,,,,,,,,,,
016,005,046,027,Idaho,Bannock County,South Dakota,Clay County,0,28,13,22,-13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
016,005,047,093,Idaho,Bannock County,Tennessee,Knox County,9,18,0,29,9,18,9,18,,,,,,,,,,,,,,,,,,,,,,,,
016,005,047,135,Idaho,Bannock County,Tennessee,Perry County,35,42,0,17,35,42,35,42,,,,,,,,,,,,,,,,,,,,,,,,
016,005,047,149,Idaho,Bannock County,Tennessee,Rutherford County,0,28,56,87,-56,87,56,87,,,,,,,,,,,,,,,,,,,,,,,,
016,005,047,157,Idaho,Bannock County,Tennessee,Shelby County,21,32,106,160,-85,164,127,161,,,,,,,,,,,,,,,,,,,,,,,,
016,005,047,187,Idaho,Bannock County,Tennessee,Williamson County,24,22,0,29,24,22,24,22,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,019,Idaho,Bannock County,Texas,Bandera County,11,18,0,25,11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,085,Idaho,Bannock County,Texas,Collin County,4,9,12,28,-8,30,16,28,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,091,Idaho,Bannock County,Texas,Comal County,0,28,34,55,-34,55,34,55,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,121,Idaho,Bannock County,Texas,Denton County,4,6,0,31,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,201,Idaho,Bannock County,Texas,Harris County,60,71,19,31,41,78,79,76,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,209,Idaho,Bannock County,Texas,Hays County,0,28,101,146,-101,146,101,146,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,279,Idaho,Bannock County,Texas,Lamb County,0,28,10,16,-10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,289,Idaho,Bannock County,Texas,Leon County,0,28,4,7,-4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,309,Idaho,Bannock County,Texas,McLennan County,0,28,7,11,-7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,439,Idaho,Bannock County,Texas,Tarrant County,0,28,25,42,-25,42,25,42,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,451,Idaho,Bannock County,Texas,Tom Green County,0,28,26,46,-26,46,26,46,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,453,Idaho,Bannock County,Texas,Travis County,21,36,0,31,21,36,21,36,,,,,,,,,,,,,,,,,,,,,,,,
016,005,048,475,Idaho,Bannock County,Texas,Ward County,0,28,22,39,-22,39,22,39,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,001,Idaho,Bannock County,Utah,Beaver County,67,102,0,16,67,102,67,102,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,005,Idaho,Bannock County,Utah,Cache County,60,57,117,70,-57,88,177,92,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,011,Idaho,Bannock County,Utah,Davis County,7,10,133,137,-126,135,140,140,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,035,Idaho,Bannock County,Utah,Salt Lake County,87,55,111,68,-24,88,198,86,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,037,Idaho,Bannock County,Utah,San Juan County,0,28,5,12,-5,12,5,12,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,049,Idaho,Bannock County,Utah,Utah County,31,28,57,56,-26,58,88,67,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,051,Idaho,Bannock County,Utah,Wasatch County,0,28,3,5,-3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,053,Idaho,Bannock County,Utah,Washington County,0,28,17,34,-17,34,17,34,,,,,,,,,,,,,,,,,,,,,,,,
016,005,049,057,Idaho,Bannock County,Utah,Weber County,113,120,120,86,-7,144,233,151,,,,,,,,,,,,,,,,,,,,,,,,
016,005,051,041,Idaho,Bannock County,Virginia,Chesterfield County,12,17,0,28,12,17,12,17,,,,,,,,,,,,,,,,,,,,,,,,
016,005,051,137,Idaho,Bannock County,Virginia,Orange County,0,28,74,89,-74,89,74,89,,,,,,,,,,,,,,,,,,,,,,,,
016,005,051,153,Idaho,Bannock County,Virginia,Prince William County,4,8,0,28,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,005,Idaho,Bannock County,Washington,Benton County,0,28,7,11,-7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,011,Idaho,Bannock County,Washington,Clark County,0,28,54,87,-54,87,54,87,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,013,Idaho,Bannock County,Washington,Columbia County,0,28,5,9,-5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,025,Idaho,Bannock County,Washington,Grant County,13,19,0,28,13,19,13,19,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,033,Idaho,Bannock County,Washington,King County,15,18,18,23,-3,29,33,29,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,053,Idaho,Bannock County,Washington,Pierce County,14,16,17,27,-3,32,31,31,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,057,Idaho,Bannock County,Washington,Skagit County,0,28,4,5,-4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,061,Idaho,Bannock County,Washington,Snohomish County,30,42,49,81,-19,94,79,88,,,,,,,,,,,,,,,,,,,,,,,,
016,005,053,063,Idaho,Bannock County,Washington,Spokane County,32,31,0,28,32,31,32,31,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,001,Idaho,Bannock County,Wyoming,Albany County,0,28,32,51,-32,51,32,51,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,013,Idaho,Bannock County,Wyoming,Fremont County,70,86,0,25,70,86,70,86,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,021,Idaho,Bannock County,Wyoming,Laramie County,74,100,0,28,74,100,74,100,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,023,Idaho,Bannock County,Wyoming,Lincoln County,0,28,7,8,-7,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,025,Idaho,Bannock County,Wyoming,Natrona County,33,31,72,83,-39,90,105,87,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,027,Idaho,Bannock County,Wyoming,Niobrara County,0,28,3,6,-3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,029,Idaho,Bannock County,Wyoming,Park County,0,28,40,63,-40,63,40,63,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,035,Idaho,Bannock County,Wyoming,Sublette County,2,3,0,19,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,037,Idaho,Bannock County,Wyoming,Sweetwater County,17,29,0,25,17,29,17,29,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,039,Idaho,Bannock County,Wyoming,Teton County,17,20,0,22,17,20,17,20,,,,,,,,,,,,,,,,,,,,,,,,
016,005,056,041,Idaho,Bannock County,Wyoming,Uinta County,6,9,0,22,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
016,005,AFR,,Idaho,Bannock County,Africa,-,47,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,005,ASI,,Idaho,Bannock County,Asia,-,160,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,005,CAM,,Idaho,Bannock County,Central America,-,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,005,EUR,,Idaho,Bannock County,Europe,-,154,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,005,ISL,,Idaho,Bannock County,U.S. Island Areas,-,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,005,NAM,,Idaho,Bannock County,Northern America,-,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,005,SAM,,Idaho,Bannock County,South America,-,75,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,007,004,005,Idaho,Bear Lake County,Arizona,Coconino County,0,17,17,23,-17,23,17,23,,,,,,,,,,,,,,,,,,,,,,,,
016,007,004,009,Idaho,Bear Lake County,Arizona,Graham County,18,19,0,26,18,19,18,19,,,,,,,,,,,,,,,,,,,,,,,,
016,007,004,015,Idaho,Bear Lake County,Arizona,Mohave County,0,17,26,28,-26,28,26,28,,,,,,,,,,,,,,,,,,,,,,,,
016,007,004,025,Idaho,Bear Lake County,Arizona,Yavapai County,0,17,5,12,-5,12,5,12,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,001,Idaho,Bear Lake County,Idaho,Ada County,16,24,2,4,14,24,18,24,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,003,Idaho,Bear Lake County,Idaho,Adams County,13,16,22,28,-9,30,35,35,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,005,Idaho,Bear Lake County,Idaho,Bannock County,18,27,39,53,-21,60,57,58,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,009,Idaho,Bear Lake County,Idaho,Benewah County,0,17,7,9,-7,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,011,Idaho,Bear Lake County,Idaho,Bingham County,10,13,22,26,-12,28,32,30,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,017,Idaho,Bear Lake County,Idaho,Bonner County,10,14,0,25,10,14,10,14,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,019,Idaho,Bear Lake County,Idaho,Bonneville County,17,25,1,2,16,25,18,25,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,027,Idaho,Bear Lake County,Idaho,Canyon County,4,6,0,28,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,029,Idaho,Bear Lake County,Idaho,Caribou County,11,18,7,15,4,22,18,24,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,031,Idaho,Bear Lake County,Idaho,Cassia County,0,17,8,12,-8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,041,Idaho,Bear Lake County,Idaho,Franklin County,4,6,0,19,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,043,Idaho,Bear Lake County,Idaho,Fremont County,2,6,4,9,-2,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,051,Idaho,Bear Lake County,Idaho,Jefferson County,0,17,109,149,-109,149,109,149,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,053,Idaho,Bear Lake County,Idaho,Jerome County,0,17,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,055,Idaho,Bear Lake County,Idaho,Kootenai County,46,52,0,28,46,52,46,52,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,057,Idaho,Bear Lake County,Idaho,Latah County,0,17,8,16,-8,16,8,16,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,067,Idaho,Bear Lake County,Idaho,Minidoka County,0,17,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,077,Idaho,Bear Lake County,Idaho,Power County,5,8,0,17,5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
016,007,016,083,Idaho,Bear Lake County,Idaho,Twin Falls County,0,17,58,91,-58,91,58,91,,,,,,,,,,,,,,,,,,,,,,,,
016,007,022,033,Idaho,Bear Lake County,Louisiana,East Baton Rouge Parish,11,15,0,29,11,15,11,15,,,,,,,,,,,,,,,,,,,,,,,,
016,007,025,009,Idaho,Bear Lake County,Massachusetts,Essex County,0,17,14,28,-14,28,14,28,,,,,,,,,,,,,,,,,,,,,,,,
016,007,025,025,Idaho,Bear Lake County,Massachusetts,Suffolk County,0,17,11,17,-11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
016,007,028,011,Idaho,Bear Lake County,Mississippi,Bolivar County,0,17,4,14,-4,14,4,14,,,,,,,,,,,,,,,,,,,,,,,,
016,007,028,047,Idaho,Bear Lake County,Mississippi,Harrison County,0,17,5,11,-5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
016,007,028,065,Idaho,Bear Lake County,Mississippi,Jefferson Davis County,0,17,1,4,-1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
016,007,028,117,Idaho,Bear Lake County,Mississippi,Prentiss County,0,17,11,34,-11,34,11,34,,,,,,,,,,,,,,,,,,,,,,,,
016,007,030,049,Idaho,Bear Lake County,Montana,Lewis and Clark County,0,17,5,11,-5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
016,007,041,023,Idaho,Bear Lake County,Oregon,Grant County,8,11,0,17,8,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,
016,007,049,005,Idaho,Bear Lake County,Utah,Cache County,35,28,14,23,21,36,49,37,,,,,,,,,,,,,,,,,,,,,,,,
016,007,049,015,Idaho,Bear Lake County,Utah,Emery County,7,12,0,18,7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
016,007,049,033,Idaho,Bear Lake County,Utah,Rich County,62,60,0,11,62,60,62,60,,,,,,,,,,,,,,,,,,,,,,,,
016,007,049,035,Idaho,Bear Lake County,Utah,Salt Lake County,0,17,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,007,049,039,Idaho,Bear Lake County,Utah,Sanpete County,0,17,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
016,007,049,049,Idaho,Bear Lake County,Utah,Utah County,11,15,18,20,-7,25,29,25,,,,,,,,,,,,,,,,,,,,,,,,
016,007,049,053,Idaho,Bear Lake County,Utah,Washington County,0,17,29,37,-29,37,29,37,,,,,,,,,,,,,,,,,,,,,,,,
016,007,050,007,Idaho,Bear Lake County,Vermont,Chittenden County,0,17,3,6,-3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
016,007,053,011,Idaho,Bear Lake County,Washington,Clark County,1,2,0,28,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
016,007,053,033,Idaho,Bear Lake County,Washington,King County,6,10,0,28,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
016,007,053,041,Idaho,Bear Lake County,Washington,Lewis County,4,6,0,28,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
016,007,056,023,Idaho,Bear Lake County,Wyoming,Lincoln County,26,36,25,36,1,50,51,52,,,,,,,,,,,,,,,,,,,,,,,,
016,007,056,037,Idaho,Bear Lake County,Wyoming,Sweetwater County,3,5,5,6,-2,9,8,7,,,,,,,,,,,,,,,,,,,,,,,,
016,007,CAR,,Idaho,Bear Lake County,Caribbean,-,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,009,002,090,Idaho,Benewah County,Alaska,Fairbanks North Star Borough,21,33,0,20,21,33,21,33,,,,,,,,,,,,,,,,,,,,,,,,
016,009,002,122,Idaho,Benewah County,Alaska,Kenai Peninsula Borough,0,17,7,7,-7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
016,009,004,005,Idaho,Benewah County,Arizona,Coconino County,33,45,0,29,33,45,33,45,,,,,,,,,,,,,,,,,,,,,,,,
016,009,004,013,Idaho,Benewah County,Arizona,Maricopa County,3,4,0,29,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
016,009,004,021,Idaho,Benewah County,Arizona,Pinal County,0,17,20,33,-20,33,20,33,,,,,,,,,,,,,,,,,,,,,,,,
016,009,006,023,Idaho,Benewah County,California,Humboldt County,0,17,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
016,009,006,061,Idaho,Benewah County,California,Placer County,3,5,0,29,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
016,009,006,067,Idaho,Benewah County,California,Sacramento County,4,8,0,29,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
016,009,006,093,Idaho,Benewah County,California,Siskiyou County,24,42,0,26,24,42,24,42,,,,,,,,,,,,,,,,,,,,,,,,
016,009,006,099,Idaho,Benewah County,California,Stanislaus County,3,4,0,29,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
016,009,015,001,Idaho,Benewah County,Hawaii,Hawaii County,4,5,0,26,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,001,Idaho,Benewah County,Idaho,Ada County,0,17,55,70,-55,70,55,70,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,003,Idaho,Benewah County,Idaho,Adams County,4,5,0,12,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,005,Idaho,Benewah County,Idaho,Bannock County,0,17,10,20,-10,20,10,20,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,007,Idaho,Benewah County,Idaho,Bear Lake County,7,9,0,17,7,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,011,Idaho,Benewah County,Idaho,Bingham County,0,17,49,46,-49,46,49,46,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,017,Idaho,Benewah County,Idaho,Bonner County,12,13,0,25,12,13,12,13,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,019,Idaho,Benewah County,Idaho,Bonneville County,2,4,0,28,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,027,Idaho,Benewah County,Idaho,Canyon County,0,17,19,20,-19,20,19,20,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,035,Idaho,Benewah County,Idaho,Clearwater County,10,11,46,33,-36,36,56,34,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,037,Idaho,Benewah County,Idaho,Custer County,0,17,4,8,-4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,039,Idaho,Benewah County,Idaho,Elmore County,5,7,0,22,5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,049,Idaho,Benewah County,Idaho,Idaho County,7,13,0,19,7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,055,Idaho,Benewah County,Idaho,Kootenai County,117,63,127,78,-10,95,244,106,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,057,Idaho,Benewah County,Idaho,Latah County,29,32,19,20,10,37,48,38,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,059,Idaho,Benewah County,Idaho,Lemhi County,0,17,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,069,Idaho,Benewah County,Idaho,Nez Perce County,9,12,0,25,9,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,
016,009,016,079,Idaho,Benewah County,Idaho,Shoshone County,4,11,51,52,-47,53,55,53,,,,,,,,,,,,,,,,,,,,,,,,
016,009,017,129,Idaho,Benewah County,Illinois,Menard County,0,17,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,009,018,107,Idaho,Benewah County,Indiana,Montgomery County,0,17,7,10,-7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
016,009,023,005,Idaho,Benewah County,Maine,Cumberland County,3,5,0,23,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
016,009,026,125,Idaho,Benewah County,Michigan,Oakland County,9,14,0,23,9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
016,009,030,053,Idaho,Benewah County,Montana,Lincoln County,10,16,0,16,10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
016,009,030,111,Idaho,Benewah County,Montana,Yellowstone County,11,15,0,23,11,15,11,15,,,,,,,,,,,,,,,,,,,,,,,,
016,009,035,049,Idaho,Benewah County,New Mexico,Santa Fe County,1,3,0,28,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,009,038,015,Idaho,Benewah County,North Dakota,Burleigh County,0,17,2,6,-2,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,
016,009,038,091,Idaho,Benewah County,North Dakota,Steele County,0,17,14,22,-14,22,14,22,,,,,,,,,,,,,,,,,,,,,,,,
016,009,039,015,Idaho,Benewah County,Ohio,Brown County,18,25,0,24,18,25,18,25,,,,,,,,,,,,,,,,,,,,,,,,
016,009,041,005,Idaho,Benewah County,Oregon,Clackamas County,4,6,0,28,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
016,009,041,017,Idaho,Benewah County,Oregon,Deschutes County,12,16,0,28,12,16,12,16,,,,,,,,,,,,,,,,,,,,,,,,
016,009,042,075,Idaho,Benewah County,Pennsylvania,Lebanon County,14,18,0,24,14,18,14,18,,,,,,,,,,,,,,,,,,,,,,,,
016,009,047,179,Idaho,Benewah County,Tennessee,Washington County,2,3,0,29,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
016,009,048,281,Idaho,Benewah County,Texas,Lampasas County,3,5,0,25,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
016,009,048,491,Idaho,Benewah County,Texas,Williamson County,3,5,0,31,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
016,009,049,035,Idaho,Benewah County,Utah,Salt Lake County,9,12,0,27,9,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,015,Idaho,Benewah County,Washington,Cowlitz County,1,3,0,28,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,019,Idaho,Benewah County,Washington,Ferry County,1,2,7,14,-6,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,025,Idaho,Benewah County,Washington,Grant County,7,13,0,28,7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,033,Idaho,Benewah County,Washington,King County,3,5,0,28,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,039,Idaho,Benewah County,Washington,Klickitat County,6,9,0,22,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,049,Idaho,Benewah County,Washington,Pacific County,0,17,14,24,-14,24,14,24,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,051,Idaho,Benewah County,Washington,Pend Oreille County,0,17,2,4,-2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,053,Idaho,Benewah County,Washington,Pierce County,11,9,0,28,11,9,11,9,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,057,Idaho,Benewah County,Washington,Skagit County,4,6,0,28,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
016,009,053,061,Idaho,Benewah County,Washington,Snohomish County,12,13,0,28,12,13,12,13,,,,,,,,,,,,,,,,,,,,,,,,
