Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,053,Idaho,Ada County,California,Monterey County,24,37,17,20,7,42,41,42,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,055,Idaho,Ada County,California,Napa County,82,133,2,4,80,133,84,133,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,059,Idaho,Ada County,California,Orange County,624,303,38,45,586,307,662,305,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,061,Idaho,Ada County,California,Placer County,147,205,33,31,114,207,180,209,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,065,Idaho,Ada County,California,Riverside County,532,400,53,57,479,409,585,399,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,067,Idaho,Ada County,California,Sacramento County,355,291,35,35,320,297,390,289,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,071,Idaho,Ada County,California,San Bernardino County,371,259,0,29,371,259,371,259,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,073,Idaho,Ada County,California,San Diego County,782,510,222,129,560,501,"1,004",550,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,075,Idaho,Ada County,California,San Francisco County,26,42,132,88,-106,95,158,98,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,077,Idaho,Ada County,California,San Joaquin County,27,42,347,279,-320,279,374,285,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,079,Idaho,Ada County,California,San Luis Obispo County,9,12,0,29,9,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,081,Idaho,Ada County,California,San Mateo County,199,265,0,29,199,265,199,265,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,083,Idaho,Ada County,California,Santa Barbara County,295,229,164,152,131,286,459,263,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,085,Idaho,Ada County,California,Santa Clara County,279,190,123,105,156,218,402,217,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,087,Idaho,Ada County,California,Santa Cruz County,61,51,17,19,44,55,78,53,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,089,Idaho,Ada County,California,Shasta County,16,30,0,29,16,30,16,30,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,097,Idaho,Ada County,California,Sonoma County,126,142,28,33,98,144,154,147,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,099,Idaho,Ada County,California,Stanislaus County,34,38,28,48,6,65,62,58,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,101,Idaho,Ada County,California,Sutter County,0,28,11,14,-11,14,11,14,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,103,Idaho,Ada County,California,Tehama County,57,90,0,29,57,90,57,90,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,109,Idaho,Ada County,California,Tuolumne County,14,17,0,29,14,17,14,17,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,111,Idaho,Ada County,California,Ventura County,52,61,0,29,52,61,52,61,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,113,Idaho,Ada County,California,Yolo County,24,37,207,253,-183,255,231,255,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,115,Idaho,Ada County,California,Yuba County,10,15,55,53,-45,55,65,55,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,001,Idaho,Ada County,Colorado,Adams County,0,28,10,16,-10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,005,Idaho,Ada County,Colorado,Arapahoe County,248,380,78,75,170,391,326,384,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,013,Idaho,Ada County,Colorado,Boulder County,118,172,180,119,-62,209,298,210,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,014,Idaho,Ada County,Colorado,Broomfield County,20,29,19,31,1,44,39,41,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,031,Idaho,Ada County,Colorado,Denver County,12,19,42,64,-30,67,54,66,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,035,Idaho,Ada County,Colorado,Douglas County,166,153,31,35,135,158,197,155,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,041,Idaho,Ada County,Colorado,El Paso County,0,28,6,12,-6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,043,Idaho,Ada County,Colorado,Fremont County,0,28,54,74,-54,74,54,74,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,045,Idaho,Ada County,Colorado,Garfield County,0,28,112,159,-112,159,112,159,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,059,Idaho,Ada County,Colorado,Jefferson County,0,28,23,25,-23,25,23,25,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,063,Idaho,Ada County,Colorado,Kit Carson County,6,12,0,17,6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,069,Idaho,Ada County,Colorado,Larimer County,12,20,54,59,-42,60,66,64,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,077,Idaho,Ada County,Colorado,Mesa County,17,28,92,74,-75,79,109,80,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,097,Idaho,Ada County,Colorado,Pitkin County,1,3,0,19,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,099,Idaho,Ada County,Colorado,Prowers County,0,28,3,6,-3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
